Nama,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,age,married
Enggar,5524,Graduation,Single,58138.0,0,0,663.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,no
Zainuri,2174,Graduation,Single,46344.0,1,1,113.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,no
Rido,4141,Graduation,Together,71613.0,0,0,312.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,no
Rizki,6182,Graduation,Together,26646.0,1,0,139.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,no
Ari,5324,PhD,Married,58293.0,1,0,161.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,yes
Kenneth,7446,Master,Together,62513.0,0,1,293.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,no
Puspa,965,Graduation,Divorced,55635.0,0,1,593.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,no
Marwan,6177,PhD,Married,33454.0,1,0,417.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,yes
Ilmi,4855,PhD,Together,30351.0,1,0,388.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,no
Araz,5899,PhD,Together,5648.0,1,1,108.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,no
Rio,1994,Graduation,Married,0,1,0,226.0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,yes
Asiyah,387,Basic,Married,7500.0,0,0,593.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,yes
Nailul,2125,Graduation,Divorced,63033.0,0,0,226.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,no
Meishita,8180,Master,Divorced,59354.0,1,1,226.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,no
